timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/24 06:51:18.067, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:18.272, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:18.472, 0 %, 0 %, 500 MiB, 49140 MiB, 28.36 W
2026/09/24 06:51:18.672, 0 %, 0 %, 500 MiB, 49140 MiB, 28.36 W
2026/09/24 06:51:18.872, 0 %, 0 %, 500 MiB, 49140 MiB, 28.36 W
2026/09/24 06:51:19.073, 0 %, 0 %, 500 MiB, 49140 MiB, 28.36 W
2026/09/24 06:51:19.273, 0 %, 0 %, 500 MiB, 49140 MiB, 28.36 W
2026/09/24 06:51:19.473, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:19.674, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:19.874, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:20.074, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:20.274, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:20.475, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:20.675, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:20.875, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:21.075, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:21.276, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:21.476, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:21.676, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:21.876, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:22.077, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:22.277, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:22.477, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:22.678, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:22.878, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:23.078, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:23.278, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:23.479, 0 %, 0 %, 500 MiB, 49140 MiB, 28.32 W
2026/09/24 06:51:23.679, 0 %, 0 %, 500 MiB, 49140 MiB, 28.32 W
2026/09/24 06:51:23.879, 0 %, 0 %, 500 MiB, 49140 MiB, 28.32 W
2026/09/24 06:51:24.079, 0 %, 0 %, 500 MiB, 49140 MiB, 28.32 W
2026/09/24 06:51:24.280, 0 %, 0 %, 500 MiB, 49140 MiB, 28.32 W
2026/09/24 06:51:24.480, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:24.680, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:24.881, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:25.081, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:25.281, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:25.481, 0 %, 0 %, 500 MiB, 49140 MiB, 28.33 W
2026/09/24 06:51:25.682, 0 %, 0 %, 500 MiB, 49140 MiB, 28.33 W
2026/09/24 06:51:25.882, 0 %, 0 %, 500 MiB, 49140 MiB, 28.33 W
2026/09/24 06:51:26.082, 0 %, 0 %, 500 MiB, 49140 MiB, 28.33 W
2026/09/24 06:51:26.282, 0 %, 0 %, 500 MiB, 49140 MiB, 28.33 W
2026/09/24 06:51:26.483, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:26.683, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:26.883, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:27.083, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:27.284, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:27.484, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:27.684, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:27.885, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:28.085, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:28.285, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:28.485, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:28.686, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:28.886, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:29.086, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:29.286, 0 %, 0 %, 500 MiB, 49140 MiB, 28.38 W
2026/09/24 06:51:29.487, 0 %, 0 %, 500 MiB, 49140 MiB, 28.43 W
2026/09/24 06:51:29.687, 0 %, 0 %, 500 MiB, 49140 MiB, 28.43 W
2026/09/24 06:51:29.887, 0 %, 0 %, 500 MiB, 49140 MiB, 28.43 W
2026/09/24 06:51:30.087, 0 %, 0 %, 500 MiB, 49140 MiB, 28.43 W
2026/09/24 06:51:30.288, 0 %, 0 %, 500 MiB, 49140 MiB, 28.43 W
2026/09/24 06:51:30.488, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:30.688, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:30.889, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:31.089, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:31.289, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:31.489, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:31.690, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:31.890, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:32.090, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:32.290, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:32.491, 0 %, 0 %, 500 MiB, 49140 MiB, 28.37 W
2026/09/24 06:51:32.691, 0 %, 0 %, 500 MiB, 49140 MiB, 28.37 W
2026/09/24 06:51:32.891, 0 %, 0 %, 500 MiB, 49140 MiB, 28.37 W
2026/09/24 06:51:33.091, 0 %, 0 %, 500 MiB, 49140 MiB, 28.37 W
2026/09/24 06:51:33.292, 0 %, 0 %, 500 MiB, 49140 MiB, 28.37 W
2026/09/24 06:51:33.492, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:33.692, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:33.892, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:34.093, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:34.293, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:34.493, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:34.694, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:34.894, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:35.094, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:35.294, 0 %, 0 %, 500 MiB, 49140 MiB, 28.40 W
2026/09/24 06:51:35.495, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:35.695, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:35.895, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:36.095, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:36.296, 0 %, 0 %, 500 MiB, 49140 MiB, 28.35 W
2026/09/24 06:51:36.496, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:36.696, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:36.896, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:37.097, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:37.297, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:37.497, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:37.697, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:37.898, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:38.098, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:38.298, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:38.499, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:38.699, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:38.899, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:39.099, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:39.300, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:39.500, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:39.700, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:39.900, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:40.101, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:40.301, 0 %, 0 %, 500 MiB, 49140 MiB, 28.34 W
2026/09/24 06:51:40.501, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:40.701, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:40.902, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:41.102, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:41.302, 0 %, 0 %, 500 MiB, 49140 MiB, 28.31 W
2026/09/24 06:51:41.503, 0 %, 0 %, 500 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:41.703, 0 %, 0 %, 500 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:41.903, 0 %, 0 %, 500 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:42.103, 0 %, 0 %, 500 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:42.304, 0 %, 0 %, 500 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:42.504, 0 %, 0 %, 500 MiB, 49140 MiB, 28.30 W
2026/09/24 06:51:42.704, 0 %, 0 %, 500 MiB, 49140 MiB, 28.30 W
2026/09/24 06:51:42.904, 0 %, 0 %, 500 MiB, 49140 MiB, 28.30 W
2026/09/24 06:51:43.105, 0 %, 0 %, 500 MiB, 49140 MiB, 28.30 W
2026/09/24 06:51:43.305, 0 %, 0 %, 500 MiB, 49140 MiB, 28.30 W
2026/09/24 06:51:43.505, 0 %, 0 %, 517 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:43.706, 0 %, 0 %, 1025 MiB, 49140 MiB, 28.29 W
2026/09/24 06:51:43.906, 0 %, 0 %, 1025 MiB, 49140 MiB, 37.90 W
2026/09/24 06:51:44.107, 0 %, 0 %, 2527 MiB, 49140 MiB, 37.90 W
2026/09/24 06:51:44.307, 0 %, 0 %, 2527 MiB, 49140 MiB, 37.90 W
2026/09/24 06:51:44.507, 0 %, 0 %, 2527 MiB, 49140 MiB, 59.73 W
2026/09/24 06:51:44.707, 0 %, 0 %, 2845 MiB, 49140 MiB, 59.73 W
2026/09/24 06:51:44.908, 28 %, 1 %, 2845 MiB, 49140 MiB, 67.32 W
2026/09/24 06:51:45.108, 28 %, 1 %, 2845 MiB, 49140 MiB, 67.32 W
2026/09/24 06:51:45.308, 28 %, 1 %, 2845 MiB, 49140 MiB, 67.32 W
2026/09/24 06:51:45.508, 0 %, 0 %, 2697 MiB, 49140 MiB, 67.80 W
2026/09/24 06:51:45.709, 0 %, 0 %, 2697 MiB, 49140 MiB, 67.80 W
2026/09/24 06:51:45.909, 0 %, 0 %, 2773 MiB, 49140 MiB, 67.50 W
2026/09/24 06:51:46.109, 0 %, 0 %, 2773 MiB, 49140 MiB, 67.50 W
2026/09/24 06:51:46.310, 0 %, 0 %, 2773 MiB, 49140 MiB, 67.50 W
2026/09/24 06:51:46.510, 0 %, 0 %, 2773 MiB, 49140 MiB, 66.64 W
2026/09/24 06:51:46.710, 0 %, 0 %, 2773 MiB, 49140 MiB, 66.64 W
2026/09/24 06:51:46.910, 0 %, 0 %, 2773 MiB, 49140 MiB, 66.59 W
2026/09/24 06:51:47.111, 0 %, 0 %, 2773 MiB, 49140 MiB, 66.59 W
2026/09/24 06:51:47.311, 0 %, 0 %, 2773 MiB, 49140 MiB, 66.59 W
2026/09/24 06:51:47.511, 0 %, 0 %, 2833 MiB, 49140 MiB, 66.52 W
2026/09/24 06:51:47.711, 0 %, 0 %, 2865 MiB, 49140 MiB, 66.52 W
2026/09/24 06:51:47.912, 0 %, 0 %, 2865 MiB, 49140 MiB, 71.45 W
2026/09/24 06:51:48.112, 0 %, 0 %, 2865 MiB, 49140 MiB, 71.45 W
2026/09/24 06:51:48.312, 0 %, 0 %, 2961 MiB, 49140 MiB, 71.45 W
2026/09/24 06:51:48.513, 1 %, 0 %, 2961 MiB, 49140 MiB, 79.73 W
2026/09/24 06:51:48.713, 1 %, 0 %, 2961 MiB, 49140 MiB, 79.73 W
2026/09/24 06:51:48.913, 0 %, 0 %, 2961 MiB, 49140 MiB, 73.69 W
2026/09/24 06:51:49.113, 0 %, 0 %, 2811 MiB, 49140 MiB, 73.69 W
2026/09/24 06:51:49.314, 0 %, 0 %, 2811 MiB, 49140 MiB, 73.69 W
2026/09/24 06:51:49.514, 0 %, 0 %, 2891 MiB, 49140 MiB, 66.79 W
2026/09/24 06:51:49.714, 0 %, 0 %, 2891 MiB, 49140 MiB, 66.79 W
2026/09/24 06:51:49.914, 0 %, 0 %, 2893 MiB, 49140 MiB, 66.65 W
2026/09/24 06:51:50.115, 0 %, 0 %, 2939 MiB, 49140 MiB, 66.65 W
2026/09/24 06:51:50.315, 0 %, 0 %, 2939 MiB, 49140 MiB, 66.65 W
2026/09/24 06:51:50.515, 0 %, 0 %, 2939 MiB, 49140 MiB, 68.32 W
2026/09/24 06:51:50.715, 0 %, 0 %, 2939 MiB, 49140 MiB, 68.32 W
2026/09/24 06:51:50.916, 51 %, 60 %, 46833 MiB, 49140 MiB, 73.65 W
2026/09/24 06:51:51.116, 51 %, 60 %, 46833 MiB, 49140 MiB, 73.65 W
2026/09/24 06:51:51.316, 51 %, 60 %, 47021 MiB, 49140 MiB, 73.65 W
2026/09/24 06:51:51.516, 14 %, 13 %, 47021 MiB, 49140 MiB, 77.15 W
2026/09/24 06:51:51.717, 14 %, 13 %, 47021 MiB, 49140 MiB, 77.15 W
2026/09/24 06:51:51.917, 45 %, 1 %, 46883 MiB, 49140 MiB, 80.68 W
2026/09/24 06:51:52.117, 45 %, 1 %, 46887 MiB, 49140 MiB, 80.68 W
2026/09/24 06:51:52.318, 45 %, 1 %, 46895 MiB, 49140 MiB, 80.68 W
2026/09/24 06:51:52.518, 24 %, 3 %, 46897 MiB, 49140 MiB, 90.63 W
2026/09/24 06:51:52.718, 24 %, 3 %, 46897 MiB, 49140 MiB, 90.63 W
2026/09/24 06:51:52.918, 0 %, 0 %, 46897 MiB, 49140 MiB, 93.15 W
2026/09/24 06:51:53.119, 0 %, 0 %, 46897 MiB, 49140 MiB, 93.15 W
2026/09/24 06:51:53.319, 0 %, 0 %, 46897 MiB, 49140 MiB, 93.15 W
2026/09/24 06:51:53.519, 0 %, 0 %, 46897 MiB, 49140 MiB, 79.91 W
2026/09/24 06:51:53.719, 0 %, 0 %, 46897 MiB, 49140 MiB, 79.91 W
2026/09/24 06:51:53.920, 0 %, 0 %, 46897 MiB, 49140 MiB, 76.32 W
2026/09/24 06:51:54.120, 0 %, 0 %, 46897 MiB, 49140 MiB, 76.32 W
2026/09/24 06:51:54.320, 0 %, 0 %, 46897 MiB, 49140 MiB, 76.32 W
2026/09/24 06:51:54.521, 0 %, 0 %, 46897 MiB, 49140 MiB, 76.32 W
2026/09/24 06:51:54.721, 0 %, 0 %, 46897 MiB, 49140 MiB, 76.32 W
2026/09/24 06:51:54.921, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.01 W
2026/09/24 06:51:55.121, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.01 W
2026/09/24 06:51:55.322, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.01 W
2026/09/24 06:51:55.522, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.01 W
2026/09/24 06:51:55.722, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.01 W
2026/09/24 06:51:55.923, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.89 W
2026/09/24 06:51:56.123, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.89 W
2026/09/24 06:51:56.323, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.89 W
2026/09/24 06:51:56.523, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.89 W
2026/09/24 06:51:56.724, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.89 W
2026/09/24 06:51:56.924, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.91 W
2026/09/24 06:51:57.124, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.91 W
2026/09/24 06:51:57.324, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.91 W
2026/09/24 06:51:57.525, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.91 W
2026/09/24 06:51:57.725, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.91 W
2026/09/24 06:51:57.925, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.99 W
2026/09/24 06:51:58.126, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.99 W
2026/09/24 06:51:58.326, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.99 W
2026/09/24 06:51:58.526, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.99 W
2026/09/24 06:51:58.726, 0 %, 0 %, 46897 MiB, 49140 MiB, 66.99 W
2026/09/24 06:51:58.927, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.21 W
2026/09/24 06:51:59.127, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.21 W
2026/09/24 06:51:59.327, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.21 W
2026/09/24 06:51:59.528, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.21 W
2026/09/24 06:51:59.728, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.21 W
2026/09/24 06:51:59.928, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.34 W
2026/09/24 06:52:00.128, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.34 W
2026/09/24 06:52:00.329, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.34 W
2026/09/24 06:52:00.529, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.34 W
2026/09/24 06:52:00.729, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.34 W
2026/09/24 06:52:00.930, 0 %, 0 %, 46897 MiB, 49140 MiB, 67.47 W
